platform,method,n,rate_pct,mi_mean,ef1_mean,chamfer_mean,time_mean_s
A,ECC,10,90.0,0.13038084544322195,0.41798366803881876,15.503407385040896,1.8887804099999812
A,MI,10,70.0,0.13640418352259398,0.3985837809274191,14.479466250308045,0.14816922999998497
A,LoFTR,10,70.0,0.12618670970213314,0.39004282218766395,17.928602778140654,0.29348536999959834
B,ECC,20,90.0,0.19752049401348531,0.4414876553523297,12.798789685063506,3.065800735000039
B,MI,20,95.0,0.2579997190613649,0.43161466472715937,16.7829687115664,0.0820951199999854
B,LoFTR,20,95.0,0.21808717958066065,0.46459350925299947,15.860351349152433,0.2796391450000101
C,ECC,10,80.0,0.311856504494241,0.5952617756607147,8.682572169537439,0.9885909300001913
C,MI,10,90.0,0.3627857908582654,0.6200350081480634,8.853322223482076,0.08307549000019207
C,LoFTR,10,90.0,0.360819089321864,0.6165638773814012,8.964570412198245,0.18410943000008045
D,ECC,10,70.0,0.2447999510990994,0.5099361979219273,16.335003192907102,1.7660969300001852
D,MI,10,80.0,0.2770392165821174,0.5306709013056652,15.954239452626155,0.07416826999997284
D,LoFTR,10,70.0,0.25286633832481253,0.5152243869236138,15.523230911844465,0.175577020000037
